GeneName
ACTG2
ADAR
ASNS
BCL11A
BDNF
CARS1
CDC42
CHD2
CLN8
EIF2AK2
FGF8
GPT2
IFIH1
PSPH
SAMD9L
SAMHD1
SCUBE3
SHMT2
SLC1A4
SP110
STAMBP
TAPT1
TREX1
TRIT1
TUBA1A
USP18
XPA
