XLOC_l2_015098
LOC100507165
FLJ35024
XLOC_007868
LOC388796
Q6NT14
LOC388796
FLJ32255
SNHG11
LOC100507254
LOC388796
Q9UJ41
LOC100507254
LOC388796
XLOC_001952
KCNA6
KCNA6
LOC100507165
PRR4
PARP9
C5orf56
SNORD38B
SNORA84
RNU6ATAC
TMEM30C
FLJ20021
SLC6A13
SNHG4
FLJ21408
LOC100506462
LOC100507443
LOC100507043
XLOC_000222
XLOC_000388
XLOC_000755
LOC100128787
XLOC_000982
XLOC_000490
XLOC_000523
XLOC_000822
XLOC_001241
XLOC_000027
XLOC_001605
XLOC_001952
XLOC_002339
XLOC_002517
XLOC_001863
XLOC_001869
XLOC_002098
STON1-GTF2A1L
XLOC_002685
XLOC_002717
XLOC_002720
XLOC_003771
XLOC_003807
XLOC_003849
XLOC_004745
XLOC_004960
XLOC_004353
XLOC_004528
XLOC_005423
LOC100507254
XLOC_005826
XLOC_005452
XLOC_006145
XLOC_006102
XLOC_006178
XLOC_006976
XLOC_007301
XLOC_007608
XLOC_007278
XLOC_007354
XLOC_007354
LOC158435
XLOC_008136
XLOC_008100
XLOC_008527
XLOC_008563
SFTA1P
XLOC_009340
XLOC_009487
XLOC_009185
XLOC_009385
XLOC_009564
XLOC_009037
XLOC_009723
XLOC_009819
XLOC_009933
XLOC_009943
XLOC_010031
XLOC_010151
XLOC_010161
XLOC_010241
XLOC_010496
XLOC_010718
XLOC_011019
XLOC_010807
XLOC_011226
XLOC_011414
XLOC_011572
XLOC_011720
XLOC_012625
XLOC_012829
XLOC_013163
LOC386758
XLOC_013220
XLOC_014411
CROCCP2
XLOC_l2_001206
RNF123
FLJ43315
LOC100288615
KRT14
C17orf51
TBC1D3P5
KRT14
LOC100506930
XLOC_l2_007034
LOC442028
XLOC_l2_008381
XLOC_l2_008381
XLOC_l2_008124
XLOC_l2_009312
XLOC_l2_009328
XLOC_l2_009578
GGTLC1
TRANK1
UNC93B1
XLOC_l2_011987
XLOC_l2_012605
XLOC_l2_012678
XLOC_l2_012855
XLOC_l2_012953
XLOC_l2_012605
XLOC_l2_013730
SEPT7P2
FAM185A
ZNF767
ZNF767
XLOC_l2_014191
XLOC_l2_014504
XLOC_l2_014505
XLOC_l2_014504
FLJ35024
FLJ35024
MGC21881
CD99P1
XLOC_l2_015441
XLOC_l2_015855
LOC100506905
LOC100507025
LOC401317
LOC100507673
LOC100506252
LOC100506544
HHIP
STAMBP
LOC100652951
LOC100653030
FAM174B
ZNF14
MARCO
WNT10A
CPO
MAFF
OSCP1
YY1AP1
OVGP1
FGR
DDIT4
CPT1A
EPSTI1
FRY
FOS
PLCG2
CORO1A
TMEM190
FUT1
ZNF571
HERC5
PSMB9
HIST1H2BB
OR2H1
PARP12
F8A1
C4orf34
JDP2
KCNN1
EPHX3
SP110
COLEC11
MTHFD2
TRIT1
KCNE2
XBP1
CSRNP1
TNFSF10
CRTC2
CAV2
ROR1
TDRD7
TRIM34
NPTX1
CXCL11
CTH
CROCCP2
ANGPTL1
TNFRSF14
BDNF
CCDC81
PCK2
SREBF1
ENO3
ZNF211
KIAA1683
THUMPD2
USP18
SERPINI2
ALPK1
RIOK2
ZP3
CAV1
NDST4
PRKCQ
TUBA1A
DAO
OASL
WIPI1
THSD1
EIF2AK2
RAD1
MTO1
ASNS
SAMD9L
PTGER4
IGF2
IL32
PSME1
IFI35
SLC16A6
CCL5
METTL22
ICAM1
LGALS3BP
NMI
PNPT1
TMEM100
CRELD1
NAA11
LNPEP
DNAJC30
SLC7A3
IFI16
ABCA4
CCKBR
TSKU
TSKS
PIAS1
ZSWIM3
MOB3C
RBCK1
RTP4
GNAT1
HHIP
SCRG1
C4orf29
HIST1H2AC
SLC29A4
STX1A
SDC1
SHMT2
ZNF608
OPLAH
MX1
PPARGC1A
LAP3
RARRES3
RABGAP1L
WDR78
ZC3HAV1
DVL1
IFI6
CASP1
OAS2
LZTS1
RAB35
SCAND2
MAP3K14
CDK20
CCNE1
TRIB3
DDIT3
UBA7
SHISA5
CLSTN2
BASP1
EGR1
GPR110
TRIM26
TRIM14
NEK6
TSTD1
SERTAD1
ARMCX1
IFI44
H3F3A
MAP3K8
IFIT2
HERC6
PSMB8
HRK
RIPK2
HCFC2
NIM1
ASMT
C2orf63
RBP1
DMGDH
ALB
CENPB
DNAJB9
C1QTNF5
TAPBP
NLRC5
ZNF433
LAMP3
TLR3
IL15
DDX60L
TAPT1
RGAG1
CEP95
ADAMTSL3
ST7L
CXCL2
KIRREL2
NXPH2
ZNF441
ZNF383
MEF2C
DHRS2
SQRDL
KLF4
ISG20
ZNF134
NEURL3
PML
ZFAND2A
IL29
FAM122C
AKAP17A
AGRN
LETM2
ATF3
TRIM56
SESN2
SKIL
BCL2
KCTD11
WDR49
TRIM5
RRP8
PML
LOC643650
ALKBH3
JHDM1D
UBR2
PDCL2
TAPBP
MGST1
BATF2
FTSJD2
B2M
GPT2
EGR4
APOL4
DHX58
CCDC11
ZFP36
AKD1
CATSPER3
ZNF556
BST2
DNAJC25
GLS
ACTG2
C5orf34
DPPA2
CLN8
HLA-A
CEBPB
POC5
DDX60
STC2
EFHB
IRF1
SOCS1
KAZALD1
C20orf132
PRSS35
NFE2L3
MT1L
TTC21A
FOSB
ITGB2
ATP4A
CCDC125
N4BP1
C4orf33
FIGF
IFI44L
FGF8
TRIM21
CLEC4A
GALK2
TRIM69
TMEM62
KANK1
ZNF671
KANK2
INSL5
TNFRSF9
BAMBI
IFIT1
LMO2
HBG1
RSRC2
ISL2
KIF22
HERPUD1
C17orf48
RANGRF
RELB
NAPA
MCEE
BCL6
CCNA2
C4orf32
EPB41L4A-AS1
TAP1
ANGPT2
ABL1
TOR2A
CLK4
MX2
GBP1
SAMD8
ARHGAP9
ZCCHC8
OAS1
GALNT8
N4BP2L2
PSME2
IRF9
MT1M
IFIH1
EFCAB6
PLSCR1
PARP9
CLEC3B
VEGFA
CXCL1
IFNB1
LARP1B
IFITM1
TTC25
GBP5
SNHG12
LIN28A
SLC15A3
SLC3A2
IL23A
PRR4
GSC
SIX1
TMBIM1
SYNPR
UBD
ISG15
IGSF9
CACNA1S
GPER
CH25H
LPXN
IFITM3
CD69
FAM158A
EPN2
PPP1R15A
GPCPD1
PXMP4
HELQ
PMS2
ACO1
FBXO6
PRH2
RNF31
YBX1
TXNDC11
CSAG1
PHF21B
GADD45G
VEGFA
NCOA7
CAV1
INHBE
TRA2B
NONO
TNFAIP3
TUBA8
PARP14
IFITM4P
RAB30
TRIM22
SAMD9
TMEM135
C14orf37
DUSP10
CXCL3
ELN
SLC1A4
CARD17
EFHA2
PML
PLA2G2F
FADS6
PPM1K
ATP10A
TBRG1
IL21R
ZNFX1
FAM129A
GADD45B
JUNB
PDK4
SERPINB2
C12orf53
BTN3A2
CXCL2
TAF1D
CHD2
SAMHD1
IFI27
MUSTN1
STAT1
TTTY3
RABGAP1L
IFITM2
RSAD2
COG3
UBE2C
IFIT5
CXCL10
IFIT2
LOC100233156
WHAMM
HLA-G
LY6E
GPA33
MARCH11
OAS3
SLC7A5
NHLH1
CCNL1
ATF3
CCDC30
SLC25A25
SLC13A3
ADAR
GIPR
IRF7
MXD1
CEACAM1
SAMD4A
NANOS1
SP100
ARRB1
SHISA5
TRIM34
TXNL4B
PRKACA
BCL11A
PLEKHA4
NFYA
HLA-J
ZNF850
LINC00202
CIDECP
APOL2
XAF1
MBNL2
CSAG2
TSPAN2
TRANK1
CD99P1
LOC150568
RIMKLB
LOC388796
TRAF1
C22orf43
SLC4A10
APOL6
C5orf56
DTX3L
UBXN10
SCUBE3
CARS
SPSB1
DSP
CD8A
SPDYE5
PHLDB3
SHC2
C1orf133
TBC1D3B
SEMA3D
APOBEC3H
IER2
JAZF1
LACE1
ROR1
NLRC5
HLA-E
FLJ35024
USP41
SHISA2
OTUD1
LOC643037
ANKRD42
AIFM2
PNPT1
PSPH
TPTE2P6
PKD1L2
LRRC37B
ANKS3
CLK1
STX1A
STAT2
VAMP2
ATF3
TAP2
PPP1R2
PRB4
LONRF3
CNPY1
CNPY1
BST2
CCR10
ADAMTS10
ST7L
CSRNP1
EIF2AK2
OAS2
OAS2
PRH2
TNFSF10
SDSL
LOC400891
MRPL11
HIST2H2BF
PSD
PRTG
RIMS3
UNG
PDCL2
TSC22D3
SMCR7L
RBCK1
PPIH
PPIH
TUBE1
CIDEC
TMEM71
CALHM3
SLC7A11
LRP2
PDE4DIP
ZNF844
FAM185A
SLC33A1
GADD45G
ZBTB48
LOC100130654
OGFR
GUSBP1
CDC42
XAF1
LYPLA2
FLJ41278
REREP3
POC5
