#node	identifier	node_degree
DVL1	9606.ENSP00000368166	13
EFCAB6	9606.ENSP00000262726	5
EFHB	9606.ENSP00000295824	7
EGR1	9606.ENSP00000239938	44
EGR4	9606.ENSP00000445626	5
EIF2AK2	9606.ENSP00000233057	84
ELF1	9606.ENSP00000239882	0
ELN	9606.ENSP00000351807	11
EMC9	9606.ENSP00000403210	1
ENO3	9606.ENSP00000324105	6
EPHX3	9606.ENSP00000221730	1
EPN2	9606.ENSP00000320543	6
EPSTI1	9606.ENSP00000318982	58
ERO1B	9606.ENSP00000346635	5
F8A1	9606.ENSP00000479624	0
FADS6	9606.ENSP00000481684	5
FAM122C	9606.ENSP00000359820	0
FAM174B	9606.ENSP00000329040	1
FAM185A	9606.ENSP00000395340	0
FAM241A	9606.ENSP00000310182	0
FBLL1	9606.ENSP00000473383	3
FBXO6	9606.ENSP00000365944	7
FGF8	9606.ENSP00000321797	22
FGR	9606.ENSP00000363117	11
FILIP1	9606.ENSP00000237172	1
FNDC11	9606.ENSP00000480914	0
FOS	9606.ENSP00000306245	74
FOSB	9606.ENSP00000245919	27
FRY	9606.ENSP00000445043	0
FUT1	9606.ENSP00000312021	0
GADD45B	9606.ENSP00000215631	18
GADD45G	9606.ENSP00000252506	8
GALK2	9606.ENSP00000453129	0
GALNT8	9606.ENSP00000252318	0
GAS2L1	9606.ENSP00000481012	0
GATA3	9606.ENSP00000368632	32
GBP1	9606.ENSP00000359504	86
GBP5	9606.ENSP00000359488	61
GGTLC1	9606.ENSP00000337587	0
GIPR	9606.ENSP00000467494	3
GLS	9606.ENSP00000317379	5
GNAT1	9606.ENSP00000232461	2
GPA33	9606.ENSP00000356842	0
GPCPD1	9606.ENSP00000368305	1
GPER1	9606.ENSP00000380281	6
GPT2	9606.ENSP00000345282	10
GSC	9606.ENSP00000238558	0
GTF2IRD2B	9606.ENSP00000480524	2
H2AC6	9606.ENSP00000367022	14
H2AJ	9606.ENSP00000438553	11
H2BC18	9606.ENSP00000445831	7
H2BC3	9606.ENSP00000482674	16
H3-3B	9606.ENSP00000254810	39
HBG1	9606.ENSP00000327431	3
HCFC2	9606.ENSP00000229330	2
HELQ	9606.ENSP00000295488	0
HELZ2	9606.ENSP00000417401	60
HERC5	9606.ENSP00000264350	66
HERC6	9606.ENSP00000264346	56
HERPUD1	9606.ENSP00000409555	11
HES4	9606.ENSP00000393198	0
HHIP	9606.ENSP00000296575	0
HIP1R	9606.ENSP00000253083	5
HLA-A	9606.ENSP00000379873	41
HLA-B	9606.ENSP00000399168	40
HLA-C	9606.ENSP00000365402	32
HLA-E	9606.ENSP00000365817	31
HLA-F	9606.ENSP00000259951	27
HLA-G	9606.ENSP00000366024	23
HRK	9606.ENSP00000257572	2
ICAM1	9606.ENSP00000264832	57
IER2	9606.ENSP00000465617	9
IFI16	9606.ENSP00000357113	72
IFI27	9606.ENSP00000483430	55
IFI35	9606.ENSP00000395590	87
IFI44	9606.ENSP00000359783	74
IFI44L	9606.ENSP00000359787	64
IFI6	9606.ENSP00000342513	64
IFIH1	9606.ENSP00000497271	96
IFIT1	9606.ENSP00000360869	82
IFIT2	9606.ENSP00000490935	79
IFIT3	9606.ENSP00000360876	87
IFIT5	9606.ENSP00000360860	67
IFITM1	9606.ENSP00000330825	64
IFITM2	9606.ENSP00000484689	38
IFITM3	9606.ENSP00000382707	61
IFNB1	9606.ENSP00000369581	80
IFNL1	9606.ENSP00000329991	34
IGF2	9606.ENSP00000391826	11
IGSF9	9606.ENSP00000357073	0
IGSF9B	9606.ENSP00000436552	0
IL15	9606.ENSP00000296545	45
IL21R	9606.ENSP00000338010	17
IL23A	9606.ENSP00000228534	11
IL32	9606.ENSP00000431775	10
INHBE	9606.ENSP00000266646	2
INSL5	9606.ENSP00000302724	0
IQCN	9606.ENSP00000376213	0
IRF1	9606.ENSP00000245414	107
IRF7	9606.ENSP00000380697	104
IRF9	9606.ENSP00000380073	89
ISG15	9606.ENSP00000496832	94
ISG20	9606.ENSP00000306565	59
ISL2	9606.ENSP00000290759	1
ITGB2	9606.ENSP00000380948	27
JAK2	9606.ENSP00000371067	56
JAZF1	9606.ENSP00000283928	3
JDP2	9606.ENSP00000267569	9
JPH1	9606.ENSP00000344488	2
JUN	9606.ENSP00000360266	88
JUNB	9606.ENSP00000303315	23
KANK1	9606.ENSP00000477725	2
KANK2	9606.ENSP00000468002	3
KAZALD1	9606.ENSP00000359219	0
KCNA6	9606.ENSP00000280684	2
KCNE2	9606.ENSP00000290310	4
KCNN1	9606.ENSP00000476519	3
KCNT2	9606.ENSP00000294725	2
KCNV1	9606.ENSP00000435954	4
KCTD11	9606.ENSP00000495203	0
KDM7A	9606.ENSP00000380692	4
KIF22	9606.ENSP00000160827	3
KIRREL2	9606.ENSP00000353331	0
KLF16	9606.ENSP00000250916	0
KLF4	9606.ENSP00000363804	22
KRT14	9606.ENSP00000167586	4
KRTAP5-4	9606.ENSP00000382590	0
LAMP3	9606.ENSP00000265598	8
LAP3	9606.ENSP00000226299	31
LARP1B	9606.ENSP00000321997	2
LETM2	9606.ENSP00000369291	0
LGALS3BP	9606.ENSP00000262776	8
LIN28A	9606.ENSP00000363314	8
LMO2	9606.ENSP00000257818	11
LNPEP	9606.ENSP00000231368	10
LONRF3	9606.ENSP00000360690	0
LPXN	9606.ENSP00000431284	2
LRP2	9606.ENSP00000496870	10
LRRC37B	9606.ENSP00000340519	0
LURAP1L	9606.ENSP00000321026	0
LY6E	9606.ENSP00000428572	42
LYPLA2	9606.ENSP00000363638	2
LZTS1	9606.ENSP00000370981	0
MAFF	9606.ENSP00000442060	13
MAP3K14	9606.ENSP00000482657	9
MAP3K8	9606.ENSP00000263056	8
MARCHF11	9606.ENSP00000333181	0
MARCO	9606.ENSP00000318916	0
MBNL2	9606.ENSP00000365861	6
MCEE	9606.ENSP00000244217	2
MEF2B	9606.ENSP00000402154	6
MEF2C	9606.ENSP00000340874	13
METTL22	9606.ENSP00000371345	0
MGST1	9606.ENSP00000379512	1
MICU3	9606.ENSP00000321455	0
MIEF1	9606.ENSP00000385110	1
MOB3C	9606.ENSP00000271139	0
MROH8	9606.ENSP00000339971	0
MRPL11	9606.ENSP00000308897	7
MT1M	9606.ENSP00000369146	0
MTHFD2	9606.ENSP00000377617	12
MTO1	9606.ENSP00000402038	5
MUSTN1	9606.ENSP00000410910	0
MVP	9606.ENSP00000378760	1
MX1	9606.ENSP00000381601	95
MX2	9606.ENSP00000333657	69
MXD1	9606.ENSP00000264444	1
MYH7	9606.ENSP00000347507	9
N4BP1	9606.ENSP00000262384	2
N4BP2L2	9606.ENSP00000382328	1
NAA11	9606.ENSP00000286794	0
NAALADL2	9606.ENSP00000404705	0
NANOS1	9606.ENSP00000393275	3
NAPA	9606.ENSP00000263354	5
NCOA7	9606.ENSP00000376269	0
NDST4	9606.ENSP00000264363	2
NEK6	9606.ENSP00000362702	2
NEURL3	9606.ENSP00000478591	0
NFE2L3	9606.ENSP00000056233	3
NFYA	9606.ENSP00000345702	11
NHLH1	9606.ENSP00000302189	1
NIBAN1	9606.ENSP00000356481	0
NIM1K	9606.ENSP00000420849	0
NLRC5	9606.ENSP00000262510	45
NMI	9606.ENSP00000243346	21
NONO	9606.ENSP00000276079	5
NPTX1	9606.ENSP00000307549	2
NRL	9606.ENSP00000454062	9
NSD2	9606.ENSP00000372351	8
NT5DC3	9606.ENSP00000376615	1
NWD2	9606.ENSP00000309501	0
NXPE2	9606.ENSP00000374237	0
NXPH2	9606.ENSP00000272641	0
NXPH4	9606.ENSP00000333593	0
OAS1	9606.ENSP00000388001	83
OAS2	9606.ENSP00000342278	88
OAS3	9606.ENSP00000228928	72
OASL	9606.ENSP00000257570	74
ODF2L	9606.ENSP00000359600	1
OGFR	9606.ENSP00000290291	1
OPLAH	9606.ENSP00000480476	3
OPTN	9606.ENSP00000368022	9
OR2H1	9606.ENSP00000366340	2
OSCP1	9606.ENSP00000349052	0
OTUD1	9606.ENSP00000365678	3
OVGP1	9606.ENSP00000358747	1
PARP10	9606.ENSP00000434776	15
PARP12	9606.ENSP00000263549	52
PARP14	9606.ENSP00000418194	58
PARP9	9606.ENSP00000353512	75
PCK2	9606.ENSP00000216780	14
PDCL2	9606.ENSP00000295645	0
PDE4DIP	9606.ENSP00000358363	2
PDK4	9606.ENSP00000005178	5
PHF21B	9606.ENSP00000324403	0
PHLDB3	9606.ENSP00000292140	1
PIANP	9606.ENSP00000442157	0
PIAS1	9606.ENSP00000438574	16
PKD2L1	9606.ENSP00000325296	3
PLA2G2F	9606.ENSP00000364243	0
PLAAT4	9606.ENSP00000255688	16
PLCG2	9606.ENSP00000482457	13
PLCL1	9606.ENSP00000402861	0
PLEKHA4	9606.ENSP00000263265	1
PLSCR1	9606.ENSP00000345494	54
PMAIP1	9606.ENSP00000326119	11
PML	9606.ENSP00000268058	28
PMS2	9606.ENSP00000265849	3
PNPT1	9606.ENSP00000400646	18
POC5	9606.ENSP00000410216	4
PPARGC1A	9606.ENSP00000264867	23
PPIH	9606.ENSP00000306614	4
PPM1K	9606.ENSP00000477341	0
PPP1R15A	9606.ENSP00000200453	23
PPP1R2	9606.ENSP00000484580	0
PPP6R2	9606.ENSP00000478417	0
PRB1	9606.ENSP00000420826	3
PRB4	9606.ENSP00000279575	3
PRH2	9606.ENSP00000379682	2
PRKACA	9606.ENSP00000309591	24
PRKCQ	9606.ENSP00000263125	5
PROB1	9606.ENSP00000416033	0
PRR4	9606.ENSP00000228811	2
PRSS35	9606.ENSP00000358714	0
PRTG	9606.ENSP00000373937	0
PSD	9606.ENSP00000384830	0
PSMB8	9606.ENSP00000364016	58
PSMB9	9606.ENSP00000363993	66
PSME1	9606.ENSP00000372155	21
PSME2	9606.ENSP00000216802	32
PSPH	9606.ENSP00000378854	13
PTGER4	9606.ENSP00000302846	4
