#node	identifier	node_degree
CIC	9606.ENSP00000458663	2
CIT	9606.ENSP00000376306	18
CKAP2L	9606.ENSP00000305204	20
CLCN4	9606.ENSP00000370213	4
CLIP1	9606.ENSP00000479322	24
CLN3	9606.ENSP00000454229	17
CLN5	9606.ENSP00000498772	10
CLN6	9606.ENSP00000249806	7
CLN8	9606.ENSP00000328182	7
CLP1	9606.ENSP00000434995	11
CLPB	9606.ENSP00000294053	28
CLPP	9606.ENSP00000245816	68
CLTC	9606.ENSP00000479606	60
CNKSR2	9606.ENSP00000368824	11
CNNM2	9606.ENSP00000358894	1
CNOT1	9606.ENSP00000320949	17
CNTNAP1	9606.ENSP00000264638	13
COASY	9606.ENSP00000464814	28
COG1	9606.ENSP00000299886	20
COG2	9606.ENSP00000355629	16
COG4	9606.ENSP00000315775	18
COG5	9606.ENSP00000297135	16
COG6	9606.ENSP00000397441	16
COG7	9606.ENSP00000305442	21
COG8	9606.ENSP00000497669	16
COL4A1	9606.ENSP00000364979	10
COPB2	9606.ENSP00000329419	15
COQ9	9606.ENSP00000262507	21
COX15	9606.ENSP00000016171	34
COX7B	9606.ENSP00000497474	28
CPT2	9606.ENSP00000360541	23
CRADD	9606.ENSP00000439068	2
CRBN	9606.ENSP00000231948	17
CREBBP	9606.ENSP00000262367	86
CRIPT	9606.ENSP00000238892	7
CRPPA	9606.ENSP00000385478	17
CSNK2A1	9606.ENSP00000217244	45
CSNK2B	9606.ENSP00000365042	19
CSPP1	9606.ENSP00000262210	17
CTCF	9606.ENSP00000494538	79
CTNNA2	9606.ENSP00000384638	11
CTNNB1	9606.ENSP00000495360	156
CTSD	9606.ENSP00000236671	23
CTU2	9606.ENSP00000456908	8
CUL4B	9606.ENSP00000384109	36
CUX1	9606.ENSP00000353401	28
CYB5R3	9606.ENSP00000354468	5
CYFIP2	9606.ENSP00000479719	14
CYP26C1	9606.ENSP00000498424	1
DAG1	9606.ENSP00000442600	28
DALRD3	9606.ENSP00000344989	9
DCHS1	9606.ENSP00000299441	7
DCPS	9606.ENSP00000263579	5
DCX	9606.ENSP00000490614	27
DDB2	9606.ENSP00000256996	31
DDX11	9606.ENSP00000440402	28
DDX3X	9606.ENSP00000494040	42
DDX59	9606.ENSP00000330460	9
DDX6	9606.ENSP00000478754	23
DEAF1	9606.ENSP00000371846	4
DEGS1	9606.ENSP00000316476	8
DENND5A	9606.ENSP00000328524	2
DGUOK	9606.ENSP00000264093	38
DHCR24	9606.ENSP00000360316	9
DHCR7	9606.ENSP00000347717	14
DHDDS	9606.ENSP00000353104	21
DHFR	9606.ENSP00000396308	40
DHTKD1	9606.ENSP00000263035	25
DHX30	9606.ENSP00000405620	18
DHX37	9606.ENSP00000311135	23
DIAPH1	9606.ENSP00000373706	14
DISP1	9606.ENSP00000284476	13
DKC1	9606.ENSP00000358563	44
DLAT	9606.ENSP00000280346	44
DLD	9606.ENSP00000205402	51
DLL1	9606.ENSP00000355718	20
DLL3	9606.ENSP00000205143	10
DMXL2	9606.ENSP00000441858	6
DNAJC21	9606.ENSP00000371451	3
DNM1	9606.ENSP00000362014	32
DNM1L	9606.ENSP00000449089	28
DNMT3A	9606.ENSP00000264709	67
