ID	log2(fold change)	-log10(Pvalue)
A_19_P00319404	-1.067	4.756
A_19_P00319588	-1.555	4.264
A_19_P00319981	1.182	3.918
A_19_P00321203	-0.916	3.833
A_19_P00321360	1.299	4.223
A_19_P00321739	-0.974	3.998
A_19_P00803685	-1.419	4.955
A_21_P0000710	1.47	3.868
A_21_P0000821	-2.013	6.575
A_21_P0002142	3.371	5.14
A_21_P0002746	5.024	7.962
A_21_P0004526	2.978	6.556
A_21_P0006409	-2.558	4.068
A_21_P0006549	1.022	4.315
A_21_P0007160	2.302	4.629
A_21_P0007662	3.593	4.546
A_21_P0008452	-1.335	4.664
A_21_P0008670	0.786	4.012
A_21_P0009484	-1.517	4.809
A_21_P0010359	-3.498	4.954
A_21_P0010700	-0.87	4.207
A_21_P0011254	-2.011	6.511
A_21_P0012839	-1.03	4.147
A_21_P0013864	-1.402	3.882
A_21_P0014449	-1.321	4.368
A_23_P102117	1.136	4.447
A_23_P102331	-1.54	4.363
A_23_P121657	-0.937	4.152
A_23_P12363	-0.926	4.113
A_23_P134454	2.334	3.975
A_23_P135548	1.149	4.34
A_23_P136978	2.124	4.713
A_23_P137381	1.875	6.15
A_23_P137573	8.461	10.417
A_23_P144697	-0.82	3.875
A_23_P145644	-1.486	4.686
A_23_P148879	-1.314	4.271
A_23_P149427	-1.058	4.154
A_23_P152305	-1.308	4.592
A_23_P153320	1.595	4.152
A_23_P15450	1.446	3.888
A_23_P154643	-1.039	4.153
A_23_P156408	-1.075	4.783
A_23_P157865	2.018	4.275
A_23_P15876	2.235	4.521
A_23_P158851	-1.108	4.067
A_23_P160025	1.482	4.063
A_23_P163353	-1.072	4.233
A_23_P1691	2.791	4.938
A_23_P170888	-1.033	4.502
A_23_P1782	-1.13	4.341
A_23_P206018	-1.022	3.978
A_23_P211207	-0.915	3.842
A_23_P212608	-0.816	3.873
A_23_P214080	-1.489	4.434
A_23_P215060	-1.064	4.046
A_23_P216023	1.158	4.511
A_23_P216225	-1.666	5.268
A_23_P251151	0.921	3.836
A_23_P253446	1.837	5.927
A_23_P259442	-1.153	4.381
A_23_P26124	-1.558	4.393
A_23_P301942	-1.05	3.981
A_23_P31064	0.939	3.997
A_23_P312150	-1.324	4.131
A_23_P315364	2.262	5.911
A_23_P315815	1.368	3.862
A_23_P324304	1.255	4.628
A_23_P330070	1.303	3.961
A_23_P333640	-1.928	5.664
A_23_P339818	-0.856	3.898
A_23_P348121	-1.643	6.051
A_23_P352799	2.623	4.878
A_23_P363778	-0.985	4.001
A_23_P366453	-1.178	5.092
A_23_P374844	2.62	6.142
A_23_P381746	-0.763	4.033
A_23_P38271	-2.225	4.993
A_23_P383915	1.078	3.933
A_23_P398566	-1.314	5.676
A_23_P399078	-1.138	4.25
A_23_P46369	0.859	4.494
A_23_P46429	-1.494	4.775
A_23_P48988	-0.935	3.995
A_23_P49338	-1.222	3.922
A_23_P501010	3.174	4.25
A_23_P501193	-1.243	4.574
A_23_P518	-2.201	4.474
A_23_P52430	-2.477	3.924
A_23_P62607	-1.386	3.835
A_23_P69738	-1.16	5.007
A_23_P7144	3.327	5.147
A_23_P7402	-1.275	5.167
A_23_P74895	-0.995	3.981
A_23_P82523	1.149	3.987
A_23_P83838	-0.984	4.588
A_23_P86470	1.337	4.432
A_23_P94230	2.329	5.16
A_23_P99063	-1.129	4.565
A_24_P10214	-0.939	4.265
A_24_P142118	-1.353	3.991
A_24_P157087	1.391	4.342
A_24_P157926	1.842	4.006
A_24_P183150	1.654	4.542
A_24_P257416	1.766	4.713
A_24_P319923	-0.993	4.067
A_24_P376391	1.411	5.398
A_24_P406060	-0.756	3.916
A_24_P411186	1.221	4.543
A_24_P56317	-0.875	3.833
A_24_P709476	1.146	4.005
A_24_P71468	1.177	3.97
A_32_P131640	-1.068	4.434
A_32_P133072	-1.255	4.079
A_32_P148538	-1.234	4.295
A_32_P187704	-1.109	3.912
A_32_P204989	-1.226	3.976
A_32_P24140	0.95	4.12
A_32_P4018	-1.154	3.883
A_32_P61495	-1.484	3.947
A_32_P66881	1.207	5.174
A_33_P3219596	0.796	4.11
A_33_P3219939	-0.861	4.167
A_33_P3220352	1.026	4.562
A_33_P3227990	-1.069	4.646
A_33_P3233916	-1.666	4.306
A_33_P3235776	-0.919	3.852
A_33_P3236846	-1.269	4.516
A_33_P3240512	-0.889	3.896
A_33_P3244728	-1.068	4.026
A_33_P3252286	5.146	7.616
A_33_P3256510	-1.52	4.052
A_33_P3269110	-1.277	4.551
A_33_P3276693	-1.29	4.345
A_33_P3276703	1.59	4.146
A_33_P3284345	1.286	4.616
A_33_P3311498	-1.65	4.546
A_33_P3319785	2.777	5.799
A_33_P3331746	-1.239	4.133
A_33_P3348872	3.023	6.498
A_33_P3353816	1.556	4.407
A_33_P3358397	-1.083	3.964
A_33_P3367196	-1.071	4.4
A_33_P3377609	1.49	4.332
A_33_P3380944	-1.217	4.017
A_33_P3384427	1.961	4.351
A_33_P3406493	-2.057	5.94
A_33_P3417308	2.106	3.838
A_33_P3419369	1.077	4.13
ERCC-00142_99	1.777	4.465
