ID	log2(fold change)	-log10(Pvalue)
A_23_P117582	1.355	5.512
A_23_P119573	0.545	3.342
A_23_P119593	-0.607	3.692
A_23_P120002	4.049	8.008
A_23_P120125	1.552	5.465
A_23_P120316	0.894	5.087
A_23_P12062	0.437	3.354
A_23_P120694	0.861	4.561
A_23_P120845	1.039	5.412
A_23_P121011	1.044	3.823
A_23_P121253	2.765	7.386
A_23_P12173	0.575	3.443
A_23_P123071	0.83	3.67
A_23_P12363	-0.562	3.97
A_23_P123672	3.174	8.049
A_23_P124190	2.219	6.368
A_23_P124905	1.39	4.777
A_23_P125278	5.091	8.795
A_23_P126103	0.724	4.054
A_23_P126486	0.668	3.608
A_23_P126706	1.446	3.914
A_23_P126908	1.227	3.594
A_23_P127891	0.811	3.347
A_23_P128008	0.811	4.914
A_23_P128817	1.865	5.545
A_23_P129786	0.489	3.202
A_23_P130149	0.538	3.272
A_23_P130482	0.465	3.404
A_23_P130974	0.776	3.267
A_23_P131348	0.483	3.291
A_23_P132159	5.139	9.273
A_23_P132826	0.905	3.98
A_23_P133133	0.885	3.765
A_23_P133284	0.405	3.159
A_23_P134419	-0.978	3.193
A_23_P134454	1.628	5.307
A_23_P136371	0.607	3.853
A_23_P1374	0.539	3.453
A_23_P139547	-0.544	3.911
A_23_P139635	1.546	3.186
A_23_P139786	7.594	9.394
A_23_P141394	0.846	4.51
A_23_P14184	0.639	4.27
A_23_P142750	2.232	7.339
A_23_P144697	-1.08	5.539
A_23_P145068	0.427	3.273
A_23_P145694	1.093	5.493
A_23_P145874	6.722	8.427
A_23_P148047	1.731	5.415
A_23_P150609	2.695	6.847
A_23_P15146	0.85	3.504
A_23_P151614	0.782	4.153
A_23_P152782	2.561	8.133
A_23_P152791	1.255	3.63
A_23_P152838	4.62	6.058
A_23_P15285	0.605	3.192
A_23_P153320	1.925	4.557
A_23_P15357	2.175	7.903
A_23_P154235	3.042	8.611
A_23_P154488	1.748	5.242
A_23_P15450	1.161	4.809
A_23_P155376	0.581	3.898
A_23_P155890	-0.546	3.426
A_23_P156061	0.507	3.263
A_23_P157170	-0.528	3.942
A_23_P159851	0.564	3.53
A_23_P160025	4.336	7.305
A_23_P160940	1.198	3.4
A_23_P162010	3.074	4.135
A_23_P162142	-0.522	3.423
A_23_P16275	1.328	3.193
