ID	log2(fold change)	-log10(Pvalue)
A_33_P3398448	3.298	8.119
A_33_P3399208	0.612	3.986
A_33_P3400292	2.604	8.091
A_33_P3400374	3.499	8.198
A_33_P3401826	3.282	9.134
A_33_P3402600	0.69	3.891
A_33_P3403851	1.857	6.042
A_33_P3404676	-1.994	4.669
A_33_P3405399	1.382	3.249
A_33_P3405459	-0.41	3.615
A_33_P3406090	0.815	3.252
A_33_P3407400	0.516	4.138
A_33_P3412975	-0.844	4.922
A_33_P3413905	1.122	3.984
A_33_P3414799	-1.497	5.394
A_33_P3418170	4.068	9.351
A_33_P3418597	-0.474	3.55
A_33_P3420545	2.222	3.622
A_33_P3420852	-0.52	3.541
A_33_P3422802	2.434	8.076
A_33_P3422810	2.312	3.936
A_33_P3423027	0.674	3.787
A_33_P3423631	-0.541	3.958
A_33_P3423941	7.056	10.209
A_33_P3424367	2.709	3.566
A_33_P3424800	0.902	4.893
A_33_P3424803	0.891	4.962
A_33_P3466016	1.157	5.753
A_33_P3619171	0.974	5.198
A_33_P3687198	0.882	4.468
A_33_P3696837	1.283	3.663
A_33_P3711933	-0.562	3.364
A_33_P3718734	1.199	5.188
A_33_P3781394	0.484	3.189
A_33_P3794213	0.844	3.087
A_33_P3799692	-0.49	3.623
A_33_P3826751	1.873	6.385
A_33_P3878772	0.503	3.069
A_33_P3892608	0.861	4.603
ERCC-00067_104	1.01	3.219
ERCC-00142_99	4.376	8.27
ETG09_35454	3.2	3.498
