ID	log2(fold change)	-log10(Pvalue)
A_19_P00319019	0.604	3.866
A_19_P00319064	-0.896	2.179
A_19_P00319072	1.192	1.787
A_19_P00319095	0.482	3.164
A_19_P00319099	-1.411	4.584
A_19_P00319140	-1.058	1.916
A_19_P00319151	-0.84	2.285
A_19_P00319177	-0.866	2.231
A_19_P00319201	0.441	2.114
A_19_P00319225	0.962	4.512
A_19_P00319236	-0.63	2.898
A_19_P00319295	-0.762	4.245
A_19_P00319308	0.669	1.827
A_19_P00319337	-0.487	1.842
A_19_P00319376	0.327	1.776
A_19_P00319407	-1.696	2.443
A_19_P00319465	-1.043	4.68
A_19_P00319476	1.39	4.087
A_19_P00319532	0.835	2.264
A_19_P00319534	-0.551	2.58
A_19_P00319537	0.615	3.755
A_19_P00319540	0.743	4.368
A_19_P00319558	1.115	2.061
A_19_P00319573	1.294	2.084
A_19_P00319608	-0.521	2.248
A_19_P00319623	0.279	2.227
A_19_P00319646	0.363	1.965
A_19_P00319655	-1.186	2.525
A_19_P00319682	0.925	3.676
A_19_P00319698	-0.666	2.315
A_19_P00319721	-0.39	1.747
A_19_P00319779	-1.053	3.923
A_19_P00319829	-0.698	2.279
A_19_P00319854	-0.269	1.982
A_19_P00319872	0.675	3.51
A_19_P00319876	0.524	1.926
A_19_P00319890	-1.176	2.03
A_19_P00319929	-0.716	2.4
A_19_P00319990	-0.993	4.576
A_19_P00320056	-0.813	4.682
A_19_P00320063	-1.128	3.445
A_19_P00320090	-0.628	3.446
A_19_P00320094	0.561	3.64
A_19_P00320108	-0.452	2.625
A_19_P00320119	-0.561	3.259
A_19_P00320120	-0.656	3.914
A_19_P00320132	0.263	2.224
A_19_P00320155	-0.253	1.976
A_19_P00320226	-1.058	5.556
A_19_P00320242	-0.863	4.534
A_19_P00320259	0.967	3.724
A_19_P00320275	0.983	5.184
A_19_P00320314	-0.29	2.444
A_19_P00320396	-0.855	5.328
A_19_P00320407	-1.159	3.748
A_19_P00320427	-0.469	3.066
A_19_P00320440	1.186	4.354
A_19_P00320469	1.582	4.885
A_19_P00320471	1.49	4.465
A_19_P00320488	0.449	2.775
A_19_P00320499	-1.423	2.81
A_19_P00320536	-1.069	4.566
A_19_P00320570	1.537	4.137
A_19_P00320579	1.033	2.645
A_19_P00320603	-0.484	2.056
A_19_P00320614	-0.697	2.664
A_19_P00320622	-0.488	2.055
A_19_P00320625	-1.329	4.406
A_19_P00320628	0.574	1.943
A_19_P00320663	1.384	3.745
A_19_P00320685	-1.427	4.704
A_19_P00320708	-0.351	1.751
A_19_P00320719	-0.398	1.759
A_19_P00320722	1.024	4.659
A_19_P00320723	0.862	3.691
A_19_P00320727	1.442	2.296
A_19_P00320729	0.319	2.244
A_19_P00320731	-0.738	3.126
A_19_P00320740	-1.419	1.878
A_19_P00320749	0.511	2.847
A_19_P00320759	0.574	2.67
A_19_P00320792	1.473	6.274
A_19_P00320796	-0.673	3.17
A_19_P00320828	-0.551	1.986
A_19_P00320841	-0.815	4.03
A_19_P00320842	-0.587	3.339
A_19_P00320846	0.415	2.607
A_19_P00320924	-0.88	3.718
A_19_P00320930	-0.987	2.334
A_19_P00320948	-0.605	4.63
A_19_P00320989	-0.828	2.338
A_19_P00321014	-0.415	2.631
A_19_P00321038	-1.069	2.188
A_19_P00321053	-0.877	4.352
A_19_P00321063	-0.661	2.598
A_19_P00321075	1.198	4.162
A_19_P00321076	1.373	4.136
A_19_P00321110	-0.37	2.67
A_19_P00321136	-1.038	4.933
A_19_P00321139	0.589	1.922
A_19_P00321183	-0.876	2.878
A_19_P00321201	-0.507	2.274
A_19_P00321202	-0.559	2.972
A_19_P00321203	2.363	6.591
A_19_P00321263	0.728	3.783
A_19_P00321264	0.433	2.435
A_19_P00321284	-1.185	3.198
A_19_P00321286	-1.462	2.624
A_19_P00321316	-0.678	1.811
A_19_P00321322	-1.779	2.513
A_19_P00321339	1.562	4.232
A_19_P00321399	0.405	2.461
A_19_P00321406	0.851	1.868
A_19_P00321414	-0.672	2.415
A_19_P00321436	0.577	1.981
A_19_P00321441	1.676	1.846
A_19_P00321461	-0.377	2.508
A_19_P00321471	-0.629	3.303
A_19_P00321473	-0.895	4.297
A_19_P00321475	-0.502	2.027
A_19_P00321511	0.637	3.636
A_19_P00321521	0.269	2.023
A_19_P00321540	-1.886	2.174
A_19_P00321546	0.656	4.078
A_19_P00321577	-0.585	3.499
A_19_P00321588	-1.045	6.062
A_19_P00321613	0.428	3.443
A_19_P00321617	0.637	3.367
A_19_P00321670	-0.582	3.302
A_19_P00321671	2.095	3.788
A_19_P00321692	-0.784	2.545
A_19_P00321697	-1.591	4.599
A_19_P00321722	-0.733	4.107
A_19_P00321739	1.68	4.447
A_19_P00321743	0.743	1.909
A_19_P00321781	0.954	4.475
A_19_P00321789	1.335	4.946
A_19_P00321802	0.468	1.761
A_19_P00321810	1.349	5.638
A_19_P00321839	-1.593	3.177
A_19_P00321851	-0.63	2.732
A_19_P00321858	0.947	2
A_19_P00321872	-0.741	3.669
A_19_P00321878	-0.354	1.987
A_19_P00321890	-0.754	2.634
A_19_P00321962	2.293	6.614
A_19_P00321973	0.644	3.884
A_19_P00321977	0.776	4.066
A_19_P00321983	-1.346	2.629
A_19_P00322036	-0.368	2.247
A_19_P00322058	1.464	4.757
A_19_P00322080	-0.613	4.318
A_19_P00322109	-0.369	2.772
A_19_P00322111	0.569	2.684
A_19_P00322118	1.305	4.57
A_19_P00322149	2.331	6.498
A_19_P00322164	0.49	1.807
A_19_P00322166	-1.489	3.036
A_19_P00322173	-1.879	1.963
A_19_P00322190	0.963	4.255
A_19_P00322207	0.6	1.754
A_19_P00322220	1.683	6.316
A_19_P00322222	-1.408	3.654
A_19_P00322224	-0.726	3.994
A_19_P00322225	-0.905	4.033
A_19_P00322228	0.661	2.402
A_19_P00322264	-1.064	2.431
A_19_P00322276	0.559	3.543
A_19_P00322299	-0.473	3.148
A_19_P00322336	0.295	2.22
A_19_P00322354	-2.068	3.562
A_19_P00322371	0.38	3.01
A_19_P00322407	1.234	5.763
A_19_P00322409	0.932	3.893
A_19_P00322413	-0.641	3.986
A_19_P00322416	0.818	4.122
A_19_P00322420	-1.545	4.887
A_19_P00322426	0.76	3.92
A_19_P00322432	0.979	5.103
A_19_P00322435	0.799	2.332
A_19_P00322442	0.443	3.029
A_19_P00322453	1.099	3.026
A_19_P00322479	1.057	3.012
A_19_P00322487	-0.345	1.959
A_19_P00322523	-0.547	2.436
A_19_P00322530	-0.529	2.165
A_19_P00322531	-0.503	2.764
A_19_P00322533	-0.606	3.27
A_19_P00322573	0.599	3.493
A_19_P00322592	-0.49	2.143
A_19_P00322599	0.422	1.852
A_19_P00322605	2.508	5.186
A_19_P00322614	-1.083	4.867
A_19_P00322629	0.555	2.405
A_19_P00322645	-0.594	2.652
A_19_P00322666	0.588	3.868
A_19_P00322687	1.1	4.095
A_19_P00322702	0.635	4.111
A_19_P00322711	0.315	2.317
A_19_P00322717	0.99	4.854
A_19_P00322754	0.462	2.932
A_19_P00322757	-0.694	3.158
A_19_P00322792	0.574	3.734
A_19_P00322793	0.329	1.902
A_19_P00322813	-0.542	3.512
A_19_P00322815	2.335	2.577
A_19_P00322836	-1.587	1.818
A_19_P00322837	0.51	1.75
A_19_P00322856	-0.551	3.659
A_19_P00322859	1.111	2.416
A_19_P00322898	0.45	2.769
A_19_P00322904	1.023	4.573
A_19_P00322906	-0.573	3.136
A_19_P00322936	-1.376	2.976
A_19_P00322938	-0.399	3.048
A_19_P00322939	0.565	3.177
A_19_P00322944	0.627	3.702
A_19_P00322953	0.675	3.306
A_19_P00322962	0.358	2.116
A_19_P00322967	1.67	6.462
A_19_P00322977	1.251	2.825
A_19_P00322983	-1.507	2.808
A_19_P00323028	0.737	5.017
A_19_P00323040	0.672	1.752
A_19_P00323082	-1.278	3.055
A_19_P00323103	0.315	2.156
A_19_P00323375	-1.315	6.148
A_19_P00323413	-0.703	3.788
A_19_P00323454	-0.578	3.057
A_19_P00323692	-0.639	2.168
A_19_P00323737	-0.41	2.599
A_19_P00324286	-1.047	4.355
A_19_P00324399	-0.773	4.632
A_19_P00324582	-0.465	2.632
A_19_P00324814	-0.592	3.297
A_19_P00325015	-0.826	3.22
A_19_P00325498	0.557	2.514
A_19_P00325660	-1.03	4.546
A_19_P00325768	-0.347	2.745
A_19_P00325794	-1.092	4.157
A_19_P00326178	-1.182	2.979
A_19_P00326179	-0.468	2.687
A_19_P00327126	1.039	3.221
A_19_P00327297	0.462	1.795
A_19_P00327415	-0.418	2.056
A_19_P00327772	1.235	4.174
A_19_P00328190	-0.926	4.187
A_19_P00328247	-0.946	4.121
A_19_P00328886	-1.353	5.292
A_19_P00329086	-0.71	3.916
A_19_P00329511	-0.633	1.984
A_19_P00329711	-0.65	4.175
A_19_P00330048	-0.863	1.768
A_19_P00331618	1.513	4.147
A_19_P00331623	-0.626	2.044
A_19_P00331853	-0.631	2.238
A_19_P00332068	-1.254	5.334
A_19_P00800061	-1.26	4.313
A_19_P00800114	-0.494	2.421
A_19_P00800206	1.545	3.158
A_19_P00800229	-0.76	2.783
A_19_P00800467	-0.52	3.082
A_19_P00800522	0.532	1.782
A_19_P00800549	-0.278	2.049
A_19_P00800555	0.636	3.448
A_19_P00800667	-0.511	1.854
A_19_P00800681	-0.541	2.449
A_19_P00801088	-1.159	4.168
A_19_P00801213	0.873	1.852
A_19_P00801279	-0.682	1.865
A_19_P00801324	-0.723	2.138
A_19_P00801490	1.12	2.188
A_19_P00801576	-0.4	2.804
A_19_P00801585	0.473	2.852
A_19_P00801627	-0.574	3.933
A_19_P00801649	1.495	3.359
A_19_P00801897	0.574	1.852
A_19_P00801917	-1.469	6.294
A_19_P00801960	-0.507	2.751
A_19_P00802027	-0.298	2.591
A_19_P00802098	1.112	5.019
A_19_P00802201	-0.929	5.232
A_19_P00802413	-0.607	4.372
A_19_P00802417	-0.355	1.916
A_19_P00802433	1.065	1.777
A_19_P00802546	-1.07	4.945
A_19_P00802550	0.896	4.537
A_19_P00802607	0.554	1.869
A_19_P00802614	0.579	2.784
A_19_P00802654	-1.028	5.17
A_19_P00802759	-1.149	5.354
A_19_P00802936	-0.557	4.24
A_19_P00803019	-0.41	1.743
A_19_P00803093	0.526	1.79
A_19_P00803201	-0.99	3.978
A_19_P00803342	-1.262	5.31
A_19_P00803558	1.001	5.694
A_19_P00803575	-1.822	3.623
A_19_P00803685	1.209	6.577
A_19_P00803864	-1.096	2.607
A_19_P00804020	0.623	3.03
A_19_P00804024	0.992	4.222
A_19_P00804049	-0.692	2.656
A_19_P00804093	1.078	3.56
A_19_P00804212	0.542	3.961
A_19_P00804215	-0.546	2.455
A_19_P00804711	-0.982	3.347
A_19_P00804723	1.295	3.999
A_19_P00804767	-1.115	4.102
A_19_P00804777	0.648	3.249
A_19_P00804817	-0.738	4.41
A_19_P00804859	0.668	3.086
A_19_P00805047	-1.037	6.17
A_19_P00805076	-0.53	2.618
A_19_P00805212	-1.546	2.305
A_19_P00805218	-1.536	2.037
A_19_P00805367	-0.257	2.026
A_19_P00805452	0.841	2.963
A_19_P00805548	-1.053	5.864
A_19_P00805625	0.577	3.179
A_19_P00805679	-0.458	2.242
A_19_P00805702	-1.01	4.728
A_19_P00805705	0.722	2.588
A_19_P00805757	-0.497	3.992
A_19_P00805812	0.581	1.906
A_19_P00805833	-0.723	4.507
A_19_P00805840	-0.553	3.142
A_19_P00806158	-0.801	5.053
A_19_P00806490	-0.979	5.695
A_19_P00806637	-0.346	2.007
A_19_P00806765	-0.98	2.46
A_19_P00806882	-0.579	3.496
A_19_P00806911	-1.201	5.302
A_19_P00806930	0.917	4.292
A_19_P00806947	-1.207	5.539
A_19_P00807057	-0.756	2.376
A_19_P00807328	-1.39	3.49
A_19_P00807336	-0.471	3.123
A_19_P00807374	0.677	2.301
A_19_P00807384	-0.476	2.826
A_19_P00807411	0.431	2.621
A_19_P00807545	-0.89	2.283
A_19_P00807615	-0.964	3.832
A_19_P00807743	2.028	3.603
A_19_P00807748	0.309	1.79
A_19_P00807752	-1.203	1.866
A_19_P00808033	-1.038	3.575
A_19_P00808086	0.54	2.068
A_19_P00808120	-1.318	4.68
A_19_P00808126	-1.109	3.818
A_19_P00808208	-1.079	4.572
A_19_P00808213	-1.149	4.686
A_19_P00808320	-0.668	3.26
A_19_P00808348	-0.674	4.02
A_19_P00808453	-0.306	2.117
A_19_P00808461	-0.538	3.229
A_19_P00808514	0.844	3.61
A_19_P00808668	-0.451	3.61
A_19_P00808794	0.969	2.191
A_19_P00808846	1.588	5.127
A_19_P00808923	-0.522	3.154
A_19_P00809076	-0.537	3.674
A_19_P00809119	1.512	2.723
A_19_P00809335	-0.779	1.735
A_19_P00809372	-0.512	2.525
A_19_P00809382	-0.594	2.847
A_19_P00809417	-0.604	3.152
A_19_P00809558	-0.522	3.714
A_19_P00809624	-1.639	6.487
A_19_P00809682	-0.776	3.113
