ID	log2(fold change)	-log10(Pvalue)
A_23_P133842	1.561	2.13
A_23_P133868	0.389	3.003
A_23_P133904	-1.12	1.821
A_23_P133956	-0.824	3.877
A_23_P133995	-0.343	2.491
A_23_P134113	-0.487	2.823
A_23_P134139	-0.839	3.328
A_23_P134147	-0.493	3.107
A_23_P134167	0.49	2.635
A_23_P134176	0.525	3.527
A_23_P134204	1.959	4.019
A_23_P13425	-0.706	4.179
A_23_P134274	-0.368	2.029
A_23_P134295	-0.785	5.031
A_23_P134340	0.489	1.735
A_23_P134347	-0.567	2
A_23_P13438	0.752	3.659
A_23_P134384	-0.288	1.763
A_23_P134395	0.8	4.667
A_23_P134419	-0.742	2.489
A_23_P134454	2.444	6.586
A_23_P134477	-0.292	2.246
A_23_P134484	1.915	4.173
A_23_P134542	0.851	2.585
A_23_P134614	0.457	3.36
A_23_P134627	-1.101	4.303
A_23_P134650	0.543	3.64
A_23_P134663	-0.846	4.816
A_23_P134714	-0.493	2.982
A_23_P134744	-0.59	4.12
A_23_P134827	0.389	2.159
A_23_P134914	0.864	4.03
A_23_P134925	-0.455	2.721
A_23_P134935	0.314	2.596
A_23_P135031	-0.605	2.826
A_23_P135061	-0.441	2.822
A_23_P135084	-0.54	4.082
A_23_P135184	-0.339	2.038
A_23_P135239	0.797	4.273
A_23_P135248	0.711	3.29
A_23_P135271	-0.743	4.159
A_23_P135357	0.437	3.095
A_23_P135381	1.797	2.885
A_23_P135454	0.645	4.583
A_23_P135465	0.438	2.918
A_23_P135548	1.454	4.982
A_23_P135611	0.261	1.777
A_23_P135616	0.447	3.79
A_23_P135669	-0.693	2.821
A_23_P135730	0.858	4.112
A_23_P135769	0.578	2.491
A_23_P135857	0.516	2.087
A_23_P135914	-0.388	3.167
A_23_P135977	-0.526	3.408
A_23_P135995	-0.333	1.934
A_23_P136012	0.693	3.304
A_23_P13604	-0.874	5.27
A_23_P136058	0.235	1.736
A_23_P1361	-0.848	2.968
A_23_P136196	0.586	3.895
A_23_P136238	-0.42	2.93
A_23_P136246	-2.251	4.083
A_23_P136347	0.929	4.943
A_23_P136355	-0.391	2.207
A_23_P136371	1.006	5.376
A_23_P136460	0.465	3.294
A_23_P136504	0.444	3.569
A_23_P136547	0.372	2.777
A_23_P136573	-0.371	2.674
A_23_P136623	0.572	2.656
A_23_P13663	-0.404	3.358
A_23_P136671	2.227	1.956
A_23_P13683	-0.573	2.87
A_23_P136909	-0.711	4.089
A_23_P136916	-0.275	2.033
A_23_P136936	0.757	3.595
A_23_P136964	0.244	1.905
A_23_P136986	0.519	3.691
A_23_P13701	-0.629	2.494
A_23_P137016	0.247	1.883
A_23_P137057	-0.443	3.556
A_23_P137073	-0.352	2.638
A_23_P137097	-0.397	3.161
A_23_P137103	-0.722	3.945
A_23_P13713	0.635	3.377
A_23_P137139	1.256	2.084
A_23_P137143	-0.556	3.195
A_23_P137157	1.444	3.817
A_23_P137173	-1.001	5.286
A_23_P137248	-0.626	3.915
A_23_P137361	-0.353	1.747
A_23_P137381	1.282	3.896
A_23_P137391	-0.338	2.661
A_23_P1374	1.83	7.195
A_23_P13740	0.684	2.762
A_23_P137427	0.516	2.249
A_23_P137532	-0.295	1.919
A_23_P137543	-0.712	4.546
A_23_P137578	0.634	2.965
A_23_P137586	-0.385	2.743
A_23_P137689	-0.764	3.155
A_23_P137697	0.549	1.834
A_23_P137705	0.843	3.498
A_23_P137797	2.679	3.349
A_23_P137814	0.419	2.758
A_23_P137848	-0.451	2.988
A_23_P137896	0.657	3.324
A_23_P137909	0.837	5.181
A_23_P137948	-0.555	3.576
A_23_P138025	0.876	5.313
A_23_P138058	-0.527	3.216
A_23_P138089	-1.282	1.999
A_23_P138139	-0.402	2.85
A_23_P138168	-0.606	2.67
A_23_P138253	-0.627	4.384
A_23_P138328	2.078	2.568
A_23_P138435	-0.255	2.107
A_23_P138461	0.329	1.956
A_23_P138507	-1.031	4.828
A_23_P138514	-0.26	1.937
A_23_P13852	-0.235	1.761
A_23_P138574	0.984	5.469
A_23_P138693	-0.344	2.079
A_23_P1387	-0.243	2.19
A_23_P138717	-0.499	4.043
A_23_P138725	-1.153	5.65
A_23_P138975	-0.701	2.387
A_23_P13899	-0.622	4.452
A_23_P139099	-1.71	1.862
A_23_P139123	-0.335	1.859
A_23_P139143	0.671	3.618
A_23_P139192	0.829	4.041
A_23_P139228	0.576	4.027
A_23_P139260	0.245	2.226
A_23_P139388	0.516	3.563
A_23_P139418	-0.442	3.189
A_23_P139434	0.997	2.684
A_23_P139471	-0.693	3.051
A_23_P139486	-0.57	3.587
A_23_P139500	3.727	4.935
A_23_P139547	-1.166	6.24
A_23_P139558	0.406	2.756
A_23_P139786	9.583	10.15
A_23_P139795	-0.396	2.392
A_23_P139912	3.716	3.985
A_23_P13998	0.826	5.14
A_23_P140029	0.267	1.732
A_23_P140154	-0.624	4.057
A_23_P140190	-1.941	1.869
A_23_P140328	0.427	3.411
A_23_P140384	-1.927	2.55
A_23_P140423	-0.598	4.07
A_23_P140427	-0.694	4.83
A_23_P140450	-1.428	2.772
A_23_P140511	0.55	3.915
A_23_P140563	0.241	2.026
A_23_P14062	-0.41	3.116
A_23_P140648	-0.75	3.976
A_23_P14072	-0.551	3.338
A_23_P140738	0.613	1.843
A_23_P140848	-0.785	4.634
A_23_P140876	0.45	3.059
A_23_P140960	-0.245	2.016
A_23_P140967	-0.694	2.55
A_23_P140978	0.531	3.616
A_23_P140994	0.69	3.668
A_23_P141032	-0.429	3.059
A_23_P141044	0.68	4.563
A_23_P141092	-1.209	3.243
A_23_P141146	0.543	3.066
A_23_P141180	0.974	5.1
A_23_P141194	0.378	3.209
A_23_P141208	0.568	4.408
A_23_P14124	0.431	1.843
A_23_P141345	1.004	4.652
A_23_P141362	-0.858	4.318
A_23_P141394	1.538	6.366
A_23_P141405	-0.489	3.412
A_23_P141447	-1.017	5.796
A_23_P141479	0.553	3.048
A_23_P141505	-2.734	6.238
A_23_P141520	-0.673	3.87
A_23_P141555	1.061	1.746
A_23_P141651	0.446	3.416
A_23_P141656	0.297	2.661
A_23_P141680	0.629	3.071
A_23_P141715	-0.87	5.242
A_23_P141730	-1.526	2.837
A_23_P141738	-0.402	2.01
A_23_P141770	0.744	4.839
A_23_P14184	1.243	6.324
A_23_P141847	-0.297	2.126
A_23_P141863	0.746	2.303
A_23_P141893	0.54	2.46
A_23_P141917	1.1	5.149
A_23_P14193	-0.971	3.865
A_23_P141965	-0.731	4.633
A_23_P141974	0.712	3.894
A_23_P142013	0.66	2.832
A_23_P142075	0.762	1.903
A_23_P142146	-0.34	2.438
A_23_P142187	-0.746	4.981
A_23_P142239	-0.918	2.941
A_23_P142403	0.381	1.854
A_23_P142421	0.455	2.532
A_23_P142424	-0.555	3.6
A_23_P142574	2.656	5.798
A_23_P142634	-0.426	3.041
A_23_P142671	0.404	2.065
A_23_P142714	0.564	2.739
A_23_P142738	-1.1	4.022
A_23_P142815	1.489	5.245
A_23_P142872	0.47	2.115
A_23_P142918	-1.035	5.106
A_23_P142969	0.478	2.389
A_23_P142974	1.016	1.984
A_23_P143016	0.571	3.701
A_23_P143047	0.516	2.725
A_23_P1431	-1.291	4.511
A_23_P143143	0.437	2.625
A_23_P143190	-0.346	2.369
A_23_P143247	1.067	4.366
A_23_P143303	0.352	2.47
A_23_P143334	1.633	5.072
A_23_P143374	-0.504	2.835
A_23_P143414	-0.426	2.465
A_23_P143643	0.56	3.627
A_23_P143662	0.517	3.304
A_23_P143692	0.389	1.827
A_23_P143748	-0.399	3.074
A_23_P143774	2.662	4.046
A_23_P143817	-1.047	5.559
A_23_P143845	0.582	4.192
A_23_P143857	-0.882	1.732
A_23_P143885	0.632	2.753
A_23_P14389	0.711	2.731
A_23_P143935	-0.963	3.427
A_23_P143952	-0.467	2.254
A_23_P143981	0.506	2.273
A_23_P143994	-0.365	2.205
A_23_P144005	1.822	6.184
A_23_P144071	0.584	2.255
A_23_P144126	0.559	2.363
A_23_P144202	0.503	2.911
A_23_P144337	1.882	5.237
A_23_P144348	-0.6	2.604
A_23_P144369	0.499	3.961
A_23_P144384	-0.755	3.39
A_23_P144394	0.616	2.024
A_23_P144458	0.962	4.478
A_23_P144465	-1.012	3.326
A_23_P144476	-0.527	3.398
A_23_P144490	-0.968	1.857
A_23_P14458	0.364	1.732
A_23_P144622	-0.776	4.383
A_23_P144627	-0.692	4.703
A_23_P144639	-0.573	4.159
A_23_P14464	-0.531	3.587
A_23_P144697	-0.907	5
A_23_P144807	0.91	3.716
A_23_P144816	-0.584	3.088
A_23_P14482	-0.354	3.015
A_23_P144877	-0.446	2.822
A_23_P144916	-0.496	2.885
A_23_P14493	-0.75	3.052
A_23_P144959	-0.611	3.465
A_23_P145	1.252	5.625
A_23_P145024	0.92	2.943
A_23_P145054	-0.8	2.537
A_23_P145068	1.032	5.902
A_23_P145074	-0.343	2.511
A_23_P145089	-0.617	3.838
A_23_P145114	-0.328	1.849
A_23_P145134	0.829	5.18
A_23_P145238	0.308	2.51
A_23_P145247	0.618	4.216
A_23_P145289	0.29	2.08
A_23_P145357	0.377	3.133
A_23_P145388	-0.554	3.384
A_23_P145424	-0.487	1.837
A_23_P14543	0.871	4.049
A_23_P145463	0.274	1.797
A_23_P145485	3.298	4.236
A_23_P145529	-0.649	2.337
A_23_P145569	0.673	2.515
A_23_P145584	1.297	5.001
A_23_P145606	1.835	5.648
A_23_P145681	0.779	3.549
A_23_P145694	2.176	7.684
A_23_P145724	-1.169	5.181
A_23_P145761	0.606	3.849
A_23_P145817	-0.396	3.105
A_23_P145841	0.955	2.176
A_23_P145874	3.8	6.594
A_23_P145904	-0.441	2.728
A_23_P145935	-1.237	2.324
A_23_P145957	0.378	1.783
A_23_P145965	0.689	5.046
A_23_P145978	2.683	3.112
A_23_P145984	-0.426	2.722
A_23_P146050	0.492	3.316
A_23_P146058	0.543	4.195
A_23_P146077	-0.351	2.606
A_23_P146084	-0.358	3.104
A_23_P146134	0.651	3.927
A_23_P146187	-0.593	4.396
A_23_P146198	1.844	2.855
A_23_P146209	-0.355	1.74
A_23_P146274	0.538	3.213
A_23_P146284	-0.338	2.04
A_23_P146294	-0.842	3.05
A_23_P146325	-0.867	2.016
A_23_P14636	-0.506	2.521
A_23_P146367	0.276	2.338
A_23_P146479	0.357	2.897
A_23_P146497	-0.651	3.677
A_23_P146512	-0.786	3.755
A_23_P146551	0.485	3.548
A_23_P146637	-0.5	3.619
A_23_P146644	0.567	2.671
A_23_P146654	-0.238	2.139
A_23_P14667	-1.848	3.602
A_23_P146728	0.805	3.787
A_23_P14673	-0.356	2.676
A_23_P146765	0.218	2.046
A_23_P146783	1.207	2.004
A_23_P146798	1.029	5.463
A_23_P146811	0.685	3.586
A_23_P146830	-0.869	4.68
A_23_P146849	-1.054	5.789
A_23_P146997	0.419	2.817
A_23_P147025	-0.474	2.556
A_23_P147070	-0.561	1.816
A_23_P14716	-0.482	3.396
A_23_P147245	1.145	3.493
A_23_P147277	-0.295	2.153
A_23_P147296	0.556	3.231
A_23_P1473	-1.294	2.328
A_23_P14734	-0.747	4.948
A_23_P147388	0.287	2.427
A_23_P147439	0.986	3.458
A_23_P147450	-0.669	3.872
A_23_P14769	1.287	3.425
A_23_P14774	-0.818	4.198
A_23_P147786	0.708	4.541
A_23_P147805	0.376	2.922
A_23_P147826	0.379	1.896
A_23_P147839	2.283	3.017
A_23_P147984	0.395	2.928
A_23_P148015	-0.474	3.268
A_23_P14804	-0.527	3.906
A_23_P148047	3.066	7.227
A_23_P148121	0.566	3.098
A_23_P148150	-0.546	3.67
A_23_P148194	-0.587	3.589
A_23_P148204	0.472	3.792
A_23_P148255	2.931	6.02
A_23_P148297	-0.681	3.278
A_23_P148308	-0.656	2.906
A_23_P148372	-0.262	2.155
A_23_P148410	-1.004	4.906
A_23_P148446	-0.388	2.506
A_23_P148473	1.375	2.276
A_23_P148484	0.8	5.14
A_23_P148513	-0.39	2.612
A_23_P148519	-0.284	1.959
A_23_P148556	0.884	3.279
A_23_P148568	1.289	3.525
A_23_P148629	-0.369	2.818
A_23_P14876	-0.429	3.679
A_23_P148798	0.312	2.656
A_23_P148807	-0.882	4.566
A_23_P14886	0.249	2.146
A_23_P148879	-0.649	3.068
A_23_P148919	0.983	5.273
A_23_P148984	-0.568	2.51
A_23_P148990	-0.554	1.739
A_23_P149050	-0.911	4.881
A_23_P149121	1.25	4.417
A_23_P14915	0.464	3.136
A_23_P149200	-0.538	2.984
A_23_P149206	-0.672	4.613
A_23_P149259	0.455	3.355
A_23_P14928	0.499	3.276
A_23_P149281	0.701	3.483
A_23_P149419	0.318	2.294
A_23_P149427	-1.497	4.031
A_23_P149470	-0.607	4.073
A_23_P149476	-0.447	2.297
A_23_P14948	-0.56	3.803
A_23_P149496	-0.32	2.082
A_23_P149664	0.282	2.036
A_23_P14975	0.593	3.89
A_23_P149818	0.554	2.892
A_23_P149858	-1.803	3.097
A_23_P14986	-0.795	3.458
A_23_P149892	0.525	3.414
A_23_P149992	-0.424	1.868
A_23_P150009	-0.278	2.061
A_23_P150018	1.063	5.034
A_23_P150053	-0.653	2.336
A_23_P150080	0.35	2.394
A_23_P150092	-0.388	3.366
A_23_P150147	-0.69	1.958
A_23_P150198	-0.916	4.391
A_23_P150238	0.278	2.388
A_23_P150249	-0.44	3.505
A_23_P150255	-1.064	4.724
A_23_P150281	-0.461	2.734
A_23_P150286	-0.29	2.608
A_23_P150316	0.562	1.938
A_23_P150325	-1.183	5.404
A_23_P150365	-0.367	2.817
A_23_P150394	-0.706	4.181
A_23_P150407	0.286	1.992
A_23_P15045	0.427	2.831
A_23_P1505	-0.5	3.566
A_23_P150510	0.399	3.388
A_23_P150609	4.477	8.482
A_23_P150648	1.277	3.891
A_23_P150693	-0.578	3.281
A_23_P15073	0.573	3.588
A_23_P150852	-0.598	3.641
A_23_P150857	-0.335	2.009
A_23_P150931	-0.341	2.644
A_23_P150950	-0.772	3.836
A_23_P151059	0.733	3.213
A_23_P151075	1.109	5.265
A_23_P15108	0.737	2.671
A_23_P151133	-0.646	3.479
A_23_P151150	-0.389	2.682
A_23_P151209	0.447	2.295
A_23_P15123	0.669	4.425
A_23_P151264	0.998	3.897
A_23_P151267	1.07	5.804
A_23_P151280	-0.447	2.845
A_23_P151321	-0.269	2.12
A_23_P151337	-0.644	4.301
A_23_P151368	-0.663	3.52
A_23_P151405	-0.452	3.675
A_23_P151436	0.742	5.094
A_23_P151459	0.895	5.058
A_23_P15146	0.566	2.449
A_23_P151529	-1.35	5.788
A_23_P151544	0.353	2.194
A_23_P151634	-0.715	1.871
A_23_P151653	-1.035	4.396
A_23_P151662	0.543	2.659
A_23_P15174	-0.552	2.463
A_23_P151746	-0.245	1.904
A_23_P15182	-0.367	2.826
A_23_P151870	-0.69	3.562
A_23_P152002	0.575	1.92
A_23_P15202	-0.362	2.262
A_23_P152024	-0.329	1.997
A_23_P152028	0.805	5.321
A_23_P152038	0.464	2.654
A_23_P152066	0.556	3.987
A_23_P152087	0.544	3.707
A_23_P152107	-0.435	2.868
A_23_P152136	-0.931	4.988
A_23_P152272	-0.411	2.59
A_23_P152284	-0.292	1.792
A_23_P152305	-0.717	1.993
A_23_P152344	-0.356	2.445
A_23_P152353	-0.62	2.507
A_23_P152356	0.618	4.861
A_23_P152420	0.491	2.901
A_23_P152462	0.404	2.694
A_23_P152583	-0.343	2.244
A_23_P152655	-2.883	5.78
A_23_P152678	-0.371	2.431
A_23_P15272	-0.771	3.67
A_23_P152782	0.86	4.682
A_23_P152791	2.346	5.504
A_23_P152804	-0.636	4.285
A_23_P152818	-0.254	1.801
A_23_P152838	6.872	7.324
A_23_P15285	1.664	6.219
A_23_P152858	-0.509	3.385
A_23_P152919	0.219	1.806
A_23_P152949	-0.318	1.862
A_23_P152963	0.652	3.519
A_23_P152984	-0.432	2.073
A_23_P152995	1.471	4.19
A_23_P153022	-0.246	1.88
A_23_P153026	-0.433	2.731
A_23_P153086	-0.408	3.208
A_23_P153098	-0.452	3.416
A_23_P153251	1.276	6.781
A_23_P153256	0.767	5.095
A_23_P153320	3.103	6.035
A_23_P153360	-1.211	5.247
A_23_P153372	-2.254	4.076
A_23_P153441	0.592	3.885
A_23_P153461	0.442	3.008
A_23_P153529	1.224	5.317
A_23_P15357	0.289	2.023
A_23_P153571	0.884	1.928
A_23_P153583	-0.606	3.005
A_23_P153640	-0.265	2.015
A_23_P153692	0.354	2.614
A_23_P153767	0.533	3.172
A_23_P153853	0.232	1.745
A_23_P153867	0.263	1.951
A_23_P15394	0.434	2.16
A_23_P153945	-0.274	2.148
A_23_P153964	-0.506	1.804
A_23_P15402	0.294	2.357
A_23_P154025	-0.454	3.356
A_23_P154065	2.081	4.147
A_23_P154188	0.416	2.853
A_23_P154199	-0.391	2.803
A_23_P154208	-0.339	2.14
A_23_P154234	-0.569	3.185
A_23_P154235	2.112	7.434
A_23_P154256	0.433	3.214
A_23_P154330	0.319	2.359
A_23_P154338	-0.272	1.855
A_23_P154345	-0.768	4.566
A_23_P154358	-1.024	2.69
A_23_P154411	0.392	3.247
A_23_P154447	0.73	5.102
A_23_P154457	-0.534	2.628
A_23_P154488	0.488	1.828
A_23_P15450	2.368	7.049
A_23_P154507	-0.371	2.997
A_23_P154522	-0.323	2.298
A_23_P154566	0.447	2.988
A_23_P154585	-0.357	2.721
A_23_P154643	-0.919	4.876
A_23_P15466	0.432	2.573
A_23_P154675	-0.408	2.733
A_23_P154688	0.945	3.75
A_23_P154708	-0.626	2.563
A_23_P154740	0.693	4.804
A_23_P154784	0.512	1.757
A_23_P154801	0.58	2.922
A_23_P154849	-1.572	4.774
A_23_P154875	-0.623	2.94
A_23_P154894	-0.384	2.57
A_23_P154962	-0.923	5.004
A_23_P154972	-0.714	4.467
A_23_P154986	1.166	3.835
A_23_P155147	-0.57	2.204
A_23_P15516	0.662	1.913
A_23_P1552	-0.741	3.79
A_23_P155236	0.523	1.796
A_23_P155288	0.314	2.375
A_23_P155301	0.722	3.001
A_23_P155376	1.08	5.779
A_23_P155417	-0.626	2.675
A_23_P155463	1.581	2.863
A_23_P155514	-1.165	2.966
A_23_P155556	-0.511	3.076
A_23_P15564	0.413	3.035
A_23_P155711	-0.508	1.931
A_23_P155765	-0.752	3.701
A_23_P15582	-0.609	3.113
A_23_P155830	-0.688	4.488
A_23_P155868	0.494	3.275
A_23_P155890	-0.509	3.235
A_23_P155907	-0.365	2.213
A_23_P155939	0.575	2.591
A_23_P155969	-0.707	2.499
A_23_P155979	0.714	2.373
A_23_P155989	-0.793	3.509
A_23_P156025	-0.625	4.601
A_23_P15603	0.415	2.61
A_23_P156156	-0.507	2.761
A_23_P156180	1.735	4.916
A_23_P156209	0.995	5.344
A_23_P156284	-0.64	4.12
A_23_P156289	-1.331	2.603
A_23_P156310	-0.907	4.771
A_23_P156355	0.571	4.028
A_23_P156390	0.517	2.26
A_23_P156402	-0.518	3.254
A_23_P156443	0.318	2.232
A_23_P156445	-0.915	2.501
A_23_P156497	-0.467	2.907
A_23_P156531	-0.393	3.015
A_23_P156708	1.387	5.362
A_23_P156732	0.451	3.117
A_23_P156739	-0.683	4.204
A_23_P156852	-0.44	3.619
A_23_P156880	0.455	2.758
A_23_P156907	-0.264	1.93
A_23_P156970	-0.453	2.061
A_23_P157027	0.974	3.358
A_23_P157038	-0.907	2.523
A_23_P157051	-0.429	1.861
A_23_P157072	-0.242	1.998
A_23_P157109	-1.013	4.04
A_23_P157117	1.624	6.182
A_23_P15714	0.325	2.54
A_23_P157170	-0.711	4.826
A_23_P157215	-0.673	4.456
A_23_P157268	-0.3	1.796
A_23_P157338	0.56	2.408
A_23_P157352	-0.508	3.676
A_23_P157361	0.36	2.822
A_23_P157404	-0.993	3.819
A_23_P157416	0.557	3.376
A_23_P157449	-1.102	5.212
A_23_P157465	-0.482	2.93
A_23_P157495	0.797	4.066
A_23_P1575	-0.465	2.738
A_23_P157513	-0.464	3.067
A_23_P157527	-0.53	3.353
A_23_P157580	-0.502	2.694
A_23_P157620	0.747	3.729
A_23_P157679	0.639	3.676
A_23_P157726	0.321	2.183
A_23_P157766	1.685	2.507
A_23_P157879	-1.519	2.416
A_23_P157926	0.501	2.749
A_23_P157963	0.342	2.361
A_23_P157970	0.722	3.947
A_23_P158007	-0.575	3.021
A_23_P158053	-0.472	3.176
A_23_P15829	0.406	2.583
A_23_P15844	-0.356	2.334
A_23_P158533	-0.411	2.425
A_23_P158570	0.506	2.293
A_23_P15864	0.993	4.498
A_23_P158662	-0.276	1.957
A_23_P158725	0.865	2.108
A_23_P15876	1.685	1.963
A_23_P158829	-0.437	3.661
A_23_P158880	0.797	3.268
A_23_P158925	-0.716	4.91
A_23_P159027	-0.411	3.027
A_23_P159101	-0.738	3.965
A_23_P159191	0.719	1.987
A_23_P159237	1.369	5.199
A_23_P159382	1.329	4.946
A_23_P15944	-0.455	2.793
A_23_P159476	-0.245	1.917
A_23_P159539	1.187	6.087
A_23_P159650	-0.305	2.471
A_23_P159663	-0.67	3.671
A_23_P159671	0.369	2.532
A_23_P159741	-0.624	2.97
A_23_P159839	-1.391	5.485
A_23_P159851	1.135	5.622
A_23_P159907	0.448	2.694
A_23_P159937	-0.436	2.55
A_23_P159952	-0.366	1.952
A_23_P159956	0.676	2.676
A_23_P159974	-0.607	1.992
A_23_P160004	1.595	1.921
A_23_P160025	1.739	4.444
A_23_P16006	-0.342	2.041
A_23_P160167	-0.701	4.016
A_23_P160177	-0.436	2.219
A_23_P160214	2.084	3.49
A_23_P16022	1.56	7.038
A_23_P16032	0.577	3.886
A_23_P160336	1.151	3.997
A_23_P160460	0.344	2.041
A_23_P160481	0.415	3.666
A_23_P160559	1.184	3.949
A_23_P160567	1.359	3.916
A_23_P160582	-0.616	2.852
A_23_P160668	-0.607	2.015
A_23_P160720	1.828	6.259
A_23_P160729	0.462	2.69
A_23_P160742	0.304	2.293
A_23_P160751	-0.948	2.361
A_23_P16078	-0.404	3.12
A_23_P160828	-0.34	2.763
A_23_P160862	-0.621	3.414
A_23_P160869	0.265	2.09
A_23_P160934	-0.424	3.234
A_23_P160940	-1.487	4.012
A_23_P161022	-0.73	3.89
A_23_P161091	-0.385	2.102
A_23_P16110	-0.296	1.82
A_23_P161125	0.538	2.702
A_23_P161152	0.694	3.766
A_23_P161156	0.353	2.93
A_23_P161237	0.534	3.618
A_23_P161297	0.644	3.223
A_23_P161338	-0.574	3.562
A_23_P161352	0.838	4.285
A_23_P161424	0.629	2.665
A_23_P16143	0.629	4.075
A_23_P161439	-2.015	5.184
A_23_P161481	-0.785	4.504
A_23_P161488	0.36	3.171
A_23_P161507	0.851	2.616
A_23_P161615	-0.26	1.844
A_23_P161624	0.72	3.118
A_23_P161634	0.58	3.747
A_23_P161644	-1.352	2.518
A_23_P161659	0.628	2.179
A_23_P161769	0.729	3.531
A_23_P16189	0.978	1.837
A_23_P161909	0.516	1.739
A_23_P161940	0.936	3.301
A_23_P161998	1.891	4.248
A_23_P162010	4.286	5.138
A_23_P162037	1.135	6.187
A_23_P162106	-0.467	3.774
A_23_P162142	-1.105	5.66
A_23_P162165	1.021	3.471
A_23_P162171	0.413	2.759
A_23_P162211	-0.506	2.89
A_23_P162228	-0.429	3.516
A_23_P162279	0.527	3.597
A_23_P162300	1.262	2.236
A_23_P162386	0.589	1.851
A_23_P16242	0.522	3.046
A_23_P162449	0.794	3.522
A_23_P162486	1.027	2.277
A_23_P162525	-0.365	3.011
A_23_P162596	-0.437	2.394
A_23_P162702	0.31	2.386
A_23_P162782	-0.681	3.793
A_23_P162807	0.263	2.234
A_23_P162846	-0.379	3.089
A_23_P162861	-1.6	4.88
A_23_P163027	-0.384	3.177
A_23_P163059	-0.468	2.492
A_23_P163087	-1.198	5.482
A_23_P163099	-0.623	2.987
A_23_P163117	-0.464	3.278
A_23_P163143	-1.101	5.464
A_23_P163148	0.369	2.494
A_23_P163161	-0.601	4.201
A_23_P163227	0.323	2.079
A_23_P163235	0.538	2.813
A_23_P163258	1.133	5.306
A_23_P163278	-0.527	3.87
A_23_P163353	-1.289	4.747
A_23_P163408	1.008	4.524
A_23_P163492	2.194	6.392
A_23_P16354	0.587	3.95
A_23_P163546	0.457	2.699
A_23_P163567	0.885	5.071
A_23_P163580	0.901	3.4
A_23_P163639	0.41	3.033
A_23_P163682	0.645	3.426
A_23_P163697	1.259	4.803
A_23_P1638	-0.449	3.375
A_23_P163942	-0.391	3.213
A_23_P163955	-0.449	3
A_23_P164000	-0.498	3.496
A_23_P164035	-0.468	3.238
A_23_P164068	1.507	4.955
A_23_P164100	-1.658	2.597
A_23_P164141	-0.37	1.871
A_23_P164148	0.608	4.181
A_23_P16415	-0.442	2.844
A_23_P164179	0.488	3.362
A_23_P164196	1.68	2.68
A_23_P164228	-1.141	5.259
A_23_P164258	0.392	2.397
A_23_P164313	-0.547	3.301
A_23_P164387	-0.609	4.199
A_23_P164451	1.366	4.737
A_23_P164528	0.497	3.893
A_23_P164536	0.563	4.106
A_23_P164623	-0.416	3.181
A_23_P164638	0.569	3.714
A_23_P164674	0.863	4.049
A_23_P16469	-1.038	4.029
A_23_P164737	0.677	4.308
A_23_P164797	0.297	1.791
A_23_P164814	-0.713	4.642
A_23_P164826	-0.712	4.691
A_23_P164897	-1.117	1.764
A_23_P164912	1.193	5.651
A_23_P164946	0.695	4.205
A_23_P165007	-0.682	2.548
A_23_P165061	-0.824	5.226
A_23_P165136	1.914	2.28
A_23_P165186	1.258	5.398
A_23_P16523	2.701	7.291
A_23_P165247	-0.354	3.176
A_23_P165360	1.204	5.857
A_23_P16538	0.564	3.853
A_23_P165402	-0.431	2.603
A_23_P165414	-0.642	3.639
A_23_P165494	0.542	3.991
A_23_P165504	-2.065	3.319
A_23_P16562	-1.002	4.524
A_23_P165668	0.98	4.418
A_23_P165691	0.203	1.751
A_23_P165698	0.754	5.046
A_23_P165707	1.9	5.875
A_23_P165722	-0.487	3.789
A_23_P165727	0.836	2.667
A_23_P16573	0.805	4.299
A_23_P165840	0.281	2.231
A_23_P165891	-0.427	2.338
A_23_P165984	1.252	6.423
A_23_P165989	1.385	4.539
A_23_P166	0.598	2.704
A_23_P166051	0.6	2.893
A_23_P166087	-0.883	5.17
A_23_P166122	0.269	1.781
A_23_P166154	1.544	5.008
A_23_P166159	0.429	3.131
A_23_P166196	-0.285	2.217
A_23_P166248	0.464	3.234
A_23_P166333	-0.268	2.109
A_23_P166400	0.624	4.301
A_23_P166421	0.504	3.517
A_23_P166459	0.687	3.408
A_23_P166508	-1.182	5.585
A_23_P16652	1.024	5.685
A_23_P166536	0.224	1.803
A_23_P166566	-0.432	2.351
A_23_P166616	-0.819	2.108
A_23_P166633	-0.732	3.248
A_23_P166686	0.56	4.504
A_23_P166698	-0.439	2.991
A_23_P166775	-0.505	2.338
A_23_P166797	2.297	3.157
A_23_P166807	0.257	2.069
A_23_P166826	0.478	3.718
A_23_P166899	0.284	1.904
A_23_P16694	-1.907	3.41
A_23_P167017	1.34	5.555
A_23_P167040	0.731	4.748
A_23_P167061	0.633	2.837
A_23_P167096	0.498	3.977
A_23_P167121	2.267	1.995
A_23_P167129	1.506	5.401
A_23_P167168	-0.636	1.754
A_23_P167194	0.423	3.221
A_23_P167201	0.57	2.475
A_23_P16722	-0.733	3.929
A_23_P167227	-0.56	4.115
A_23_P167269	-0.435	2.806
A_23_P167276	-0.736	3.395
A_23_P167298	-1.569	1.909
A_23_P167308	-0.539	3.002
A_23_P167358	1.323	5.724
A_23_P167367	1.914	4.141
A_23_P167389	-0.513	3.778
A_23_P167401	-0.563	4.087
A_23_P16743	-1.428	5.172
A_23_P167444	-0.415	2.5
A_23_P167497	0.387	1.906
