ID	log2(fold change)	-log10(Pvalue)
A_19_P00319537	0.823	4.277
A_19_P00322276	0.824	4.201
A_19_P00811613	0.942	4.097
A_21_P0000015	1.608	4.062
A_21_P0002142	4.35	5.36
A_21_P0002355	1.419	3.954
A_21_P0002746	6.019	7.3
A_21_P0004526	4.013	6.784
A_21_P0005017	-0.92	4.252
A_21_P0006202	2.409	5.096
A_21_P0006521	2.577	5.761
A_21_P0007160	4.465	7.045
A_21_P0007662	4.16	4.241
A_21_P0008670	1.222	4.129
A_21_P0008733	-0.855	4.027
A_21_P0012224	1.766	3.955
A_21_P0013514	0.958	4.1
A_21_P0014446	0.69	3.987
A_23_P104318	1.298	4.336
A_23_P104563	1.222	3.966
A_23_P106675	0.868	4.317
A_23_P107775	0.81	4.165
A_23_P110196	1.883	4.333
A_23_P120002	1.744	4.221
A_23_P122134	-0.991	4.223
A_23_P12363	-0.761	4.45
A_23_P125278	3.674	6.118
A_23_P132159	2.547	4.885
A_23_P137573	3.524	3.932
A_23_P139786	5.642	9.394
A_23_P140797	-0.76	3.944
A_23_P145874	3.239	6.447
A_23_P152305	-0.703	4.013
A_23_P152838	3.364	4.061
A_23_P153320	1.969	5.025
A_23_P154235	1.376	4.206
A_23_P160025	2.096	4.834
A_23_P162010	2.615	4.978
A_23_P163353	-1.095	5.698
A_23_P17663	3.281	5.247
A_23_P201459	3.18	5.455
A_23_P205738	1.699	4.61
A_23_P21134	1.749	6.182
A_23_P212608	-1.147	4.225
A_23_P213385	-1.018	4.713
A_23_P216468	-1.252	4.118
A_23_P23074	4.377	5.585
A_23_P24004	4.94	7.664
A_23_P29773	1.187	3.97
A_23_P30069	3.103	4.354
A_23_P315364	2.673	5.805
A_23_P324304	0.86	4.745
A_23_P328740	3.396	4.671
A_23_P34915	1.41	4.106
A_23_P359214	1.403	5.137
A_23_P360744	0.952	4.197
A_23_P38271	-1.146	4.273
A_23_P38346	3.052	5.973
A_23_P383915	1.952	4.075
A_23_P39465	4.735	5.921
A_23_P416395	1.282	4.216
A_23_P430411	2.966	4.652
A_23_P45871	3.613	5.725
A_23_P46584	-3.119	4.055
A_23_P48029	1.231	4.686
A_23_P52266	2.803	4.647
A_23_P52430	-1.632	6.667
A_23_P54846	0.925	4.102
A_23_P59005	2.289	5.302
A_23_P60534	-0.805	3.939
A_23_P65442	3.197	5.769
A_23_P68155	5.25	6.867
A_23_P7144	3.8	7.975
A_23_P71774	5.244	5.874
A_23_P72737	3.373	4.783
A_23_P74895	-1.053	5.279
A_23_P76774	3.175	4.193
A_23_P819	3.647	5.756
A_23_P82523	1.188	4.428
A_23_P86470	5.55	6.61
A_23_P87879	2.123	4.462
A_23_P89310	-0.736	4.171
A_23_P91430	2.569	4.434
A_24_P101391	-1.056	4.09
A_24_P11061	2	4.97
A_24_P127564	1.243	3.908
A_24_P157926	1.932	5.769
A_24_P183150	1.95	6.307
A_24_P208081	2.34	6.074
A_24_P257416	2.009	5.731
A_24_P274270	2.342	4.354
A_24_P303091	5.6	6.995
A_24_P304071	4.941	7.745
A_24_P307827	0.624	3.914
A_24_P337058	0.558	3.916
A_24_P348203	1.106	3.965
A_24_P356916	0.963	4.086
A_24_P382319	2.756	5.428
A_24_P401830	2.401	4.169
A_24_P402588	1.641	4.592
A_24_P709476	1.152	4.654
A_24_P7157	1.006	4.63
A_24_P71973	1.152	4.391
A_24_P915692	1.075	4.074
A_32_P54553	2.504	4.181
A_32_P55241	1.703	4.857
A_32_P92489	3.261	4.084
A_33_P3219596	1.114	4.49
A_33_P3220352	1.091	5.487
A_33_P3220911	5.384	5.938
A_33_P3227990	-0.996	5.326
A_33_P3238074	1.958	4.886
A_33_P3240843	3.118	8.216
A_33_P3244728	-1.015	4.502
A_33_P3258542	-1.123	4.724
A_33_P3283611	3.482	7.416
A_33_P3291871	1.703	5.299
A_33_P3330264	1.424	4.109
A_33_P3331652	1.365	4.524
A_33_P3333317	1.101	3.921
A_33_P3339720	1.035	4.063
A_33_P3343175	5.351	8.096
A_33_P3348872	4.552	7.084
A_33_P3350703	2.167	4.074
A_33_P3376965	2.085	4.955
A_33_P3412975	-0.92	4.94
A_33_P3422802	1.364	4.778
A_33_P3423941	3.397	4.978
ERCC-00142_99	3.36	6.876
