ID	log2(fold change)	-log10(Pvalue)
A_21_P0002142	4.337	5.992
A_21_P0002746	5.687	8.4
A_21_P0004526	2.891	6.453
A_21_P0007160	3.294	5.825
A_21_P0007662	4.419	5.226
A_23_P137573	8.571	10.463
A_23_P315364	2.293	5.957
A_23_P7144	3.335	5.156
A_33_P3240843	2.112	5.175
A_33_P3348872	3.941	7.424
ERCC-00142_99	2.611	5.742
