p1.Name,p1.Log2FoldChange,p1.MicrocephalyRelated,r.combined_score,p2.Name,p2.Log2FoldChange,p2.MicrocephalyRelated
AGRN,0.47,null,0.597,BDNF,0.811,true
ALB,1.099,null,0.684,BDNF,0.811,true
ANGPT2,1.268,null,0.578,BDNF,0.811,true
ATF3,1.882,null,0.554,BDNF,0.811,true
B2M,1.85,null,0.591,BDNF,0.811,true
BCL2,-0.427,null,0.793,BDNF,0.811,true
SHMT2,0.856,true,0.452,CARS1,0.0,true
SLC1A4,0.719,true,0.425,CARS1,0.0,true
TRIT1,0.437,true,0.438,CARS1,0.0,true
CHAC1,1.872,null,0.453,CARS1,0.0,true
CTH,0.724,null,0.646,CARS1,0.0,true
SLC3A2,1.22,null,0.431,CARS1,0.0,true
SLC7A11,1.074,null,0.477,CARS1,0.0,true
SQOR,0.0,null,0.466,CARS1,0.0,true
TRIB3,1.504,null,0.429,CARS1,0.0,true
ASNS,1.093,true,0.536,CARS1,0.0,true
BCL11A,0.821,true,0.499,CARS1,0.0,true
AIFM2,0.845,null,0.415,CARS1,0.0,true
EIF2AK2,2.24,true,0.482,CDC42,-0.76,true
TUBA1A,-0.544,true,0.934,CDC42,-0.76,true
CHN2,1.04,null,0.439,CDC42,-0.76,true
COG3,0.585,null,0.59,CDC42,-0.76,true
DVL1,-0.558,null,0.497,CDC42,-0.76,true
EPN2,-0.666,null,0.419,CDC42,-0.76,true
FGR,1.236,null,0.408,CDC42,-0.76,true
FOS,2.373,null,0.455,CDC42,-0.76,true
HCFC2,0.588,null,0.414,CDC42,-0.76,true
ICAM1,1.925,null,0.449,CDC42,-0.76,true
ITGB2,2.909,null,0.57,CDC42,-0.76,true
JAK2,0.503,null,0.461,CDC42,-0.76,true
JUN,1.069,null,0.686,CDC42,-0.76,true
LRP2,-0.969,null,0.409,CDC42,-0.76,true
MEF2B,0.616,null,0.53,CDC42,-0.76,true
MEF2C,1.558,null,0.621,CDC42,-0.76,true
PRKACA,-0.36,null,0.651,CDC42,-0.76,true
PRKCQ,0.539,null,0.407,CDC42,-0.76,true
RAB35,-0.555,null,0.434,CDC42,-0.76,true
STAT1,4.095,null,0.55,CDC42,-0.76,true
TLN2,-0.525,null,0.64,CDC42,-0.76,true
TUBA8,0.5,null,0.925,CDC42,-0.76,true
VAMP2,0.539,null,0.485,CDC42,-0.76,true
WHAMM,0.972,null,0.943,CDC42,-0.76,true
WIPF2,-0.531,null,0.712,CDC42,-0.76,true
BDNF,0.811,true,0.431,CDC42,-0.76,true
ABL1,-0.407,null,0.781,CDC42,-0.76,true
ALB,1.099,null,0.532,CDC42,-0.76,true
AMOT,-1.994,null,0.645,CDC42,-0.76,true
ANGPT2,1.268,null,0.414,CDC42,-0.76,true
ARHGAP29,-1.071,null,0.797,CDC42,-0.76,true
ARHGAP4,-0.446,null,0.605,CDC42,-0.76,true
ARHGAP42,-0.562,null,0.482,CDC42,-0.76,true
ARHGAP9,2.472,null,0.738,CDC42,-0.76,true
BCL2,-0.427,null,0.503,CDC42,-0.76,true
CAV1,1.578,null,0.739,CDC42,-0.76,true
CAV2,0.83,null,0.45,CDC42,-0.76,true
CCL5,4.62,null,0.449,CDC42,-0.76,true
CD8A,0.975,null,0.405,CDC42,-0.76,true
FAM174B,-0.412,null,0.437,CHD2,0.535,true
FOS,2.373,null,0.422,CLN8,-0.552,true
IFIH1,7.776,true,0.962,EIF2AK2,2.24,true
SAMD9L,4.595,true,0.624,EIF2AK2,2.24,true
SP110,4.049,true,0.691,EIF2AK2,2.24,true
USP18,5.139,true,0.875,EIF2AK2,2.24,true
EPSTI1,1.991,null,0.614,EIF2AK2,2.24,true
GBP1,2.913,null,0.601,EIF2AK2,2.24,true
HELZ2,0.0,null,0.783,EIF2AK2,2.24,true
HERC5,4.008,null,0.917,EIF2AK2,2.24,true
HERC6,4.332,null,0.802,EIF2AK2,2.24,true
IFI16,4.336,null,0.778,EIF2AK2,2.24,true
IFI27,4.34,null,0.732,EIF2AK2,2.24,true
IFI35,2.561,null,0.722,EIF2AK2,2.24,true
IFI44,6.963,null,0.951,EIF2AK2,2.24,true
IFI44L,5.515,null,0.927,EIF2AK2,2.24,true
IFI6,6.886,null,0.811,EIF2AK2,2.24,true
IFIT1,5.051,null,0.993,EIF2AK2,2.24,true
IFIT2,6.169,null,0.87,EIF2AK2,2.24,true
IFIT3,5.672,null,0.943,EIF2AK2,2.24,true
IFIT5,2.509,null,0.855,EIF2AK2,2.24,true
IFITM1,7.056,null,0.711,EIF2AK2,2.24,true
IFITM2,1.809,null,0.528,EIF2AK2,2.24,true
IFITM3,1.9,null,0.839,EIF2AK2,2.24,true
IFNB1,7.722,null,0.794,EIF2AK2,2.24,true
IFNL1,0.0,null,0.705,EIF2AK2,2.24,true
IRF1,1.782,null,0.66,EIF2AK2,2.24,true
IRF7,2.612,null,0.885,EIF2AK2,2.24,true
IRF9,4.241,null,0.769,EIF2AK2,2.24,true
ISG15,6.076,null,0.991,EIF2AK2,2.24,true
ISG20,0.61,null,0.662,EIF2AK2,2.24,true
JUN,1.069,null,0.629,EIF2AK2,2.24,true
LY6E,3.259,null,0.569,EIF2AK2,2.24,true
MBNL2,0.489,null,0.512,EIF2AK2,2.24,true
MX1,6.495,null,0.979,EIF2AK2,2.24,true
MX2,2.623,null,0.912,EIF2AK2,2.24,true
OAS1,8.029,null,0.929,EIF2AK2,2.24,true
OAS2,5.764,null,0.934,EIF2AK2,2.24,true
OAS3,2.878,null,0.959,EIF2AK2,2.24,true
OASL,7.594,null,0.773,EIF2AK2,2.24,true
PARP12,4.326,null,0.668,EIF2AK2,2.24,true
PARP14,3.908,null,0.672,EIF2AK2,2.24,true
PARP9,3.938,null,0.774,EIF2AK2,2.24,true
PLSCR1,3.064,null,0.558,EIF2AK2,2.24,true
PNPT1,1.445,null,0.507,EIF2AK2,2.24,true
PPP1R15A,1.21,null,0.697,EIF2AK2,2.24,true
PRKACA,-0.36,null,0.402,EIF2AK2,2.24,true
PSMB9,1.113,null,0.401,EIF2AK2,2.24,true
RSAD2,3.101,null,0.953,EIF2AK2,2.24,true
RTP4,3.123,null,0.529,EIF2AK2,2.24,true
SAMD9,5.041,null,0.584,EIF2AK2,2.24,true
SH2D3C,0.775,null,0.438,EIF2AK2,2.24,true
SOCS1,1.12,null,0.641,EIF2AK2,2.24,true
SP100,5.123,null,0.478,EIF2AK2,2.24,true
STAT1,4.095,null,0.98,EIF2AK2,2.24,true
STAT2,1.3,null,0.88,EIF2AK2,2.24,true
TLR3,4.082,null,0.772,EIF2AK2,2.24,true
TNFSF10,2.397,null,0.527,EIF2AK2,2.24,true
TRIM21,2.29,null,0.6,EIF2AK2,2.24,true
TRIM22,4.248,null,0.737,EIF2AK2,2.24,true
